device_id,group_id,ip,user_name,password,run_path,stake_mark,can0_type,can1_type,can2_type,can3_type,can0_file,can1_file,can2_file,can3_file
37,1,44.114.46.21,root,,/mnt/r%/,K12+638,14,15,14,15,,,,
36,1,44.114.46.41,root,,/mnt/r%/,K13+118,14,15,14,15,,,,
35,1,44.114.46.61,root,,/mnt/r%/,K13+598,14,15,14,15,,,,
34,1,44.114.46.81,root,,/mnt/r%/,K14+078,14,15,14,15,,,,
33,1,44.114.46.101,root,,/mnt/r%/,K14+546,14,15,14,15,,,,
32,1,44.114.46.131,root,,/mnt/r%/,K15+008,14,15,14,15,,,,
31,1,44.114.46.151,root,,/mnt/r%/,K15+458,14,15,14,15,,,,
30,1,44.114.46.171,root,,/mnt/r%/,K15+948,14,15,14,15,,,,
29,1,44.114.46.191,root,,/mnt/r%/,K16+383,14,15,14,15,,,,
28,1,44.114.46.211,root,,/mnt/r%/,K16+843,14,15,14,15,,,,
27,1,44.114.46.231,root,,/mnt/r%/,K17+304,14,15,14,15,,,,
26,1,44.114.47.2,root,,/mnt/r%/,K17+764,14,15,14,15,,,,
25,1,44.114.47.21,root,,/mnt/r%/,K18+226,14,15,14,15,,,,
24,1,44.114.47.41,root,,/mnt/r%/,K18+684,14,15,14,15,,,,
23,1,44.114.47.61,root,,/mnt/r%/,K19+168,14,15,14,15,,,,
22,1,44.114.47.81,root,,/mnt/r%/,K19+618,14,15,14,15,,,,
21,1,44.114.47.101,root,,/mnt/r%/,K20+098,14,15,14,15,,,,
20,1,44.114.47.121,root,,/mnt/r%/,K20+577,14,15,14,15,,,,
19,1,44.114.47.141,root,,/mnt/r%/,K21+057,14,15,14,15,,,,
18,1,44.114.47.161,root,,/mnt/r%/,K21+507,14,15,14,15,,,,
17,1,44.114.47.181,root,,/mnt/r%/,K21+972,14,15,14,15,,,,
16,1,44.114.47.201,root,,/mnt/r%/,K22+437,14,15,14,15,,,,
15,1,44.114.47.221,root,,/mnt/r%/,K22+917,14,15,14,15,,,,
14,1,44.114.47.241,root,,/mnt/r%/,K23+408,14,15,14,15,,,,
13,1,44.114.45.2,root,,/mnt/r%/,K23+888,14,15,14,15,,,,
12,1,44.114.45.21,root,,/mnt/r%/,K24+376,14,15,14,15,,,,
11,1,44.114.45.41,root,,/mnt/r%/,K24+878,14,15,14,15,,,,
10,1,44.114.45.61,root,,/mnt/r%/,K25+358,14,15,14,15,,,,
9,1,44.114.45.81,root,,/mnt/r%/,K25+830,14,15,14,15,,,,
8,1,44.114.45.101,root,,/mnt/r%/,K26+228,14,15,14,15,,,,
7,1,44.114.45.121,root,,/mnt/r%/,K26+648,14,15,14,15,,,,
6,1,44.114.45.141,root,,/mnt/r%/,K27+069,14,15,14,15,,,,
5,1,44.114.45.161,root,,/mnt/r%/,K27+490,14,15,14,15,,,,
4,1,44.114.45.181,root,,/mnt/r%/,K27+932,14,15,14,15,,,,
3,1,44.114.45.201,root,,/mnt/r%/,K28+420,14,15,14,15,,,,
2,1,44.114.45.221,root,,/mnt/r%/,K28+900,14,15,14,15,,,,
1,1,44.114.45.241,root,,/mnt/r%/,K29+375,14,15,14,15,,,,
77,1,44.114.40.176,root,,/mnt/r%/,E32+002,0,16,17,0,,,,
76,1,44.114.40.178,root,,/mnt/r%/,E31+002,0,16,17,0,,,,
75,1,44.114.40.180,root,,/mnt/r%/,E30+002,0,16,17,0,,,,
74,1,44.114.40.182,root,,/mnt/r%/,E29+002,0,16,17,0,,,,
73,1,44.114.40.232,root,,/mnt/r%/,E28+002,0,16,17,0,,,,
72,1,44.114.40.234,root,,/mnt/r%/,E27+008,0,16,17,0,,,,
71,1,44.114.40.236,root,,/mnt/r%/,E27+152,0,16,17,0,,,,
70,1,44.114.40.238,root,,/mnt/r%/,E26+137,0,16,17,0,,,,
69,1,44.114.40.240,root,,/mnt/r%/,E25+115,0,16,17,0,,,,
68,1,44.114.40.242,root,,/mnt/r%/,E24+098,0,16,17,0,,,,
67,1,44.114.41.42,root,,/mnt/r%/,E23+077,0,16,17,0,,,,
66,1,44.114.41.44,root,,/mnt/r%/,E22+056,0,16,17,0,,,,
65,1,44.114.41.46,root,,/mnt/r%/,E21+035,0,16,17,0,,,,
64,1,44.114.41.48,root,,/mnt/r%/,E20+008,0,16,17,0,,,,
63,1,44.114.41.50,root,,/mnt/r%/,E20+152,0,16,17,0,,,,
62,1,44.114.41.52,root,,/mnt/r%/,E19+137,0,16,17,0,,,,
61,1,44.114.41.112,root,,/mnt/r%/,E18+115,0,16,17,0,,,,
60,1,44.114.41.114,root,,/mnt/r%/,E17+098,0,16,17,0,,,,
59,1,44.114.41.116,root,,/mnt/r%/,E16+077,0,16,17,0,,,,
58,1,44.114.41.118,root,,/mnt/r%/,E15+056,0,16,17,0,,,,
57,1,44.114.41.120,root,,/mnt/r%/,E14+035,0,16,17,0,,,,
56,1,44.114.41.122,root,,/mnt/r%/,E13+008,0,16,17,0,,,,
55,1,44.114.41.182,root,,/mnt/r%/,E13+152,0,16,17,0,,,,
54,1,44.114.41.184,root,,/mnt/r%/,E12+137,0,16,17,0,,,,
53,1,44.114.41.186,root,,/mnt/r%/,E11+115,0,16,17,0,,,,
52,1,44.114.41.188,root,,/mnt/r%/,E10+098,0,16,17,0,,,,
51,1,44.114.41.190,root,,/mnt/r%/,E9+077,0,16,17,0,,,,
50,1,44.114.41.192,root,,/mnt/r%/,E8+056,0,16,17,0,,,,
49,1,44.114.42.3,root,,/mnt/r%/,E7+035,0,16,17,0,,,,
48,1,44.114.42.5,root,,/mnt/r%/,E6+008,0,16,17,0,,,,
47,1,44.114.42.7,root,,/mnt/r%/,E6+152,0,16,17,0,,,,
46,1,44.114.42.9,root,,/mnt/r%/,E5+137,0,16,17,0,,,,
45,1,44.114.42.11,root,,/mnt/r%/,E4+115,0,16,17,0,,,,
44,1,44.114.42.13,root,,/mnt/r%/,E3+097,0,16,17,0,,,,
43,1,44.114.42.62,root,,/mnt/r%/,E2+077,0,16,17,0,,,,
